name,short_description,description,type,available_formats,source,coverage_extent,data_download_lvl,statewide_coverage,footprint,download_size,recommended_use,date_created,tags,known_issues,alternative_data,derivative_data,spatial_reference,relationship_tag,category,download,download_link,order,wms_category,wms_link,pop_link,status_map_cartodb_id,agency,agency_web,agency_gis_page,date_added,license,tile_index,supplemental_report
Adjacent States,State boundaries for Texas adjacent states for base map use.,"State boundaries for U.S. states adjacent to Texas for base map use. Includes Arizona, Oklahoma, Arkansas, Louisiana.",Vector,Shapefile,TxDOT,U.S. States bordering Texas,state,,State,0.6 MB,Basemap,2003,"Boundary, State, New Mexico, Oklahoma, Arkansas, Louisiana","Age, accuracy",None,None,[EPSG 4269](https://epsg.io/4269),,Boundary,T,,,,,,394a41dc-df84-11e4-a6cf-0e4fddd5de28,,,,2014-02-01,CC0,,
Bathymetry TX Coast v0.1,Bathymetry of the Texas-Louisiana Continental Shelf.,"Bathymetry of the Texas-Louisiana Continental Shelf was compiled in a project carried out in 2004 - 2006 sponsored by the Texas Sea Grant College Program. The objective of this project was to provide for the first time new bathymetry as good as the available underlying historical U. S. Coast Survey bathymetric survey data. 

The mapped extent was the Texas coastal region, including bays and estuaries, and the Continental Shelf out to the 100-meter isobath. Land topography was added, and bathymetry and land topography were co-registered to a common shoreline, providing seamless across-the-shore map coverage at a uniform contour interval of one meter.","Vector, Raster","IMG, Shapefile, GDB",TPWD,Coastal,state,,Texas Texas Coastal,743.27 MB,"Basemap, Research, Analysis",2007,"Depth, Ocean, Sea, Texas, Gulf of Mexico, Contour",None,None,None,[EPSG 4326](https://epsg.io/4326),,Bathymetry,,https://tnris-datadownload.s3.amazonaws.com/d/tpwd13-bathymetry/state/tx/tpwd13-bathymetry_tx.zip,,,,,68ef2a5a-decc-11e4-8cd4-0e018d66dc29,Texas Parks and Wildlife Department,https://tpwd.texas.gov/,,2014-02-01,CC0,,
Bathymetry TX LA Coast V0.1,Bathymetry of the Texas-Louisiana Continental Shelf.,"Bathymetry of the Texas-Louisiana Continental Shelf was compiled in a project carried out in 2004 - 2006 sponsored by the Texas Sea Grant College Program. The objective of this project was to provide for the first time new bathymetry as good as the available underlying historical U. S. Coast Survey bathymetric survey data. 

The mapped extent was the Texas coastal region, including bays and estuaries, and the Continental Shelf out to the 100-meter isobath. Land topography was added, and bathymetry and land topography were co-registered to a common shoreline, providing seamless across-the-shore map coverage at a uniform contour interval of one meter.",Vector,"Shapefile, GDB",TPWD,Coastal,state,,Texas Louisiana Texas Coastal,445.23 MB,"Basemap, Research, Analysis",2007,"Depth, Ocean, Sea, Louisiana, Gulf of Mexico, Contour",None,None,None,[EPSG 4326](https://epsg.io/4326),,Bathymetry,,https://tnris-datadownload.s3.amazonaws.com/d/tpwd13-bathymetry-la/state/tx/tpwd13-bathymetry-la_tx.zip,,,,,68ef2a5a-decc-11e4-8cd4-0e018d66dc29,Texas Parks and Wildlife Department,https://tpwd.texas.gov/,,2014-02-01,CC0,,
Bexar County 2001 1m CIR,Color infrared Aerial Photography of Bexar County from 2001.,Color infrared Aerial Photography of Bexar County from 2001.,Raster,JP2,Bexar County,Bexar County,,,USGS Quadrangle,,"Basemap, Research",2001,"Bexar, County, Orthoimagery, Imagery, Aerial Photography, CIR, Color, Infrared, San Antonio, Historical",Incomplete Coverage ,None,None,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,,,T,,,,c8f2d414-decd-11e4-9d17-0e9d821ea90d,,,,2014-02-01,CC0,T,
Bexar County 2003 NC,Natural Color Aerial Photography of Bexar County from 2003.,Natural Color Aerial Photography of Bexar County from 2003.,Raster,ECW,Bexar County,Bexar County,,,USGS Quadrangle,,Basemap,2003,"Bexar, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, San Antonio, Historical",None,None,None,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,,,T,Bexar County,http://r.tnris.org/arcgis/services/Bexar/Bexar_County_2003_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_2003_NC/ImageServer?f=jsapi,02b0158a-decf-11e4-a0cc-0e4fddd5de28,,,,2014-02-01,CC0,T,
Bexar Metro 911 2006 6in NC,Natural Color Aerial Photography of Bexar County from 2006.,"Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) to acquire new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2006. Intended to provide an image base for 911 vector data.",Raster,SID,Bexar County Metro 911,"Bexar, Comal, Guadalupe",quad,,USGS Quadrangle,,Basemap,2006,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",None,None,None,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,T,,,Bexar County,http://r.tnris.org/arcgis/services/Bexar/Bexar_County_Metro_911_2006/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_Metro_911_2006/ImageServer?f=jsapi,893fe8fa-decf-11e4-95a7-0e4fddd5de28,,,,2014-02-01,CC0,T,
Bexar Metro 911 2009 6in NC,Natural Color Aerial Photography of Bexar County from 2009.,"Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) to acquire new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2009. Intended to provide an image base for 911 vector data.",Raster,SID,Bexar County Metro 911,"Bexar, Comal, Guadalupe",quad,,USGS Quadrangle,,Basemap,2009,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",None,None,None,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,T,,,Bexar County,http://r.tnris.org/arcgis/services/Bexar/Bexar_County_Metro_911_2009_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_Metro_911_2009_NC/ImageServer?f=jsapi,17dade6c-ded0-11e4-9ab9-0e0c41326911,,,,2014-02-01,CC0,T,
Bexar Metro 911 2010 6in NC,Natural Color Aerial Photography of Bexar County from 2011.,"Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) acquired new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2010. Intended to provide an image base for 911 vector data.",Raster,SID,Bexar County Metro 911,"Bexar, Comal, Guadalupe",quad,,USGS Quadrangle,,Basemap,2010,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",None,None,None,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,T,,,Bexar County,http://r.tnris.org/arcgis/services/Bexar/Bexar_County_Metro_911_2010_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_Metro_911_2010_NC/ImageServer?f=jsapi,a320e89a-ded0-11e4-bed0-0e018d66dc29,,,,2014-02-01,CC0,T,
Bexar Metro 911 2013 6in NC,Natural Color Aerial Photography of Bexar County from 2013.,"Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) acquired new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2013. Intended to provide an image base for 911 vector data.",Raster,SID,Bexar County Metro 911,"Bexar, Comal, Guadalupe",quad,,USGS Quadrangle,,Basemap,2013,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",None,None,None,[EPSG 2278](https://epsg.io/2278),,Orthoimagery - Regional,T,,,Bexar County,http://r.tnris.org/arcgis/services/Bexar/Bexar_County_Metro_911_2013_NC/ImageServer/WMSServer,http://r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_Metro_911_2013_NC/ImageServer?f=jsapi,3727e44e-ded1-11e4-ab5d-0e853d047bba,,,,2014-02-01,CC0,T,
CAPCOG 1997 2m BW,"Black and White 2m Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).","Black and White 2m Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).",Raster,SID,CAPCOG,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson",,,1/4 USGS Quadrangle,,Basemap,1997,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson, County, Orthoimagery, Imagery, Aerial Photography, BW, Black, White, 911, Austin, San Marcos, Georgetown, Historical",None,None,None,[EPSG 2277](https://epsg.io/2277),,Orthoimagery - Regional,,,T,,,,f42d2afe-ded1-11e4-a345-0e4fddd5de28,Capital Area Council of Governments,http://www.capcog.org/,,2014-02-01,CC0,T,
